age,department,tenure_years,monthly_income,performance_rating,overtime_hours,job_satisfaction,attrition
58,HR,1.3,3213,2,7.7,10.0,0
34,Marketing,0.2,2861,3,5.1,7.0,0
54,Finance,0.6,3095,4,13.8,9.0,1
57,Sales,0.7,3654,2,7.7,4.0,1
44,Engineering,3.2,4670,5,3.5,8.0,0
27,Marketing,0.7,4205,3,8.0,1.0,1
33,Sales,0.6,3180,3,6.7,8.0,0
41,Finance,3.7,4896,5,1.5,2.0,0
32,Finance,6.1,4697,3,5.3,7.0,0
25,Engineering,4.7,6403,4,4.3,5.0,0
28,Engineering,0.8,4872,2,0.0,7.0,1
58,Sales,0.0,2921,4,4.3,,1
36,Sales,2.8,6239,3,3.8,2.0,0
43,Engineering,4.2,6214,5,3.2,8.0,1
38,Engineering,0.8,6119,2,0.0,5.0,0
52,Engineering,4.1,6703,2,3.5,2.0,0
25,Marketing,11.6,7044,1,4.8,5.0,0
32,Finance,2.0,3456,3,5.4,1.0,1
44,HR,2.4,4352,3,0.3,9.0,0
52,Marketing,3.8,4575,1,7.6,10.0,0
39,Sales,3.3,4665,1,0.0,5.0,0
48,Sales,3.3,4362,2,4.1,,0
52,HR,1.0,2200,1,10.4,7.0,1
46,Sales,1.0,3497,5,2.2,6.0,1
53,Sales,0.7,2200,4,2.9,8.0,0
58,Engineering,1.2,5015,1,9.4,3.0,1
30,Engineering,0.1,3587,4,3.4,4.0,1
38,Marketing,3.7,3836,4,3.8,3.0,0
30,HR,1.5,3403,4,5.9,10.0,0
37,engineering,0.9,4805,5,9.3,5.0,0
22,Engineering,3.0,4111,4,0.0,7.0,0
48,Sales,1.5,2326,3,1.6,8.0,0
30,Sales,0.4,2501,4,0.9,7.0,0
53,Sales,2.4,2422,4,0.5,1.0,1
49,HR,9.1,5770,3,1.5,10.0,0
34,Sales,0.5,4932,3,1.6,9.0,0
39,Engineering,6.1,5689,3,6.2,4.0,1
47,Sales,2.2,4766,2,1.4,10.0,0
37,Finance,1.7,2446,3,5.5,9.0,0
29,Sales,2.8,4689,3,6.6,6.0,0
23,Sales,7.8,6132,4,2.0,5.0,0
42,Marketing,5.3,5066,1,5.5,4.0,0
42,Engineering,1.2,5192,3,11.7,,0
51,Finance,11.4,9141,2,6.3,3.0,0
26,HR,6.7,5855,1,2.4,2.0,0
24,Finance,0.2,3192,2,4.7,2.0,0
49,Sales,9.7,6304,2,1.2,10.0,0
49,Engineering,2.7,5805,5,6.1,4.0,0
52,Engineering,1.2,4459,2,8.5,3.0,0
22,Marketing,10.0,7749,2,1.6,9.0,0
46,Engineering,2.9,5321,2,4.1,6.0,0
58,HR,6.2,7047,2,9.5,1.0,1
51,Sales,2.4,2475,5,3.0,3.0,1
39,Engineering,5.0,5933,5,5.8,8.0,0
40,Engineering,3.1,6233,2,0.8,3.0,0
37,Sales,0.3,3104,1,1.7,,0
24,Finance,1.0,2687,1,2.9,6.0,0
49,Engineering,0.8,4281,5,13.7,1.0,1
42,Marketing,2.2,2638,5,3.4,2.0,1
41,HR,1.3,3627,5,2.9,1.0,0
57,HR,1.1,5636,3,2.7,9.0,0
49,HR,6.6,6671,4,4.3,8.0,0
58,HR,1.3,2522,4,7.6,2.0,0
25,Sales,9.7,6394,3,5.8,7.0,0
58,Engineering,10.3,7956,5,13.2,2.0,0
43,Sales,2.9,5364,1,5.9,4.0,0
37,Engineering,1.6,4101,3,10.8,7.0,1
43,Sales,1.9,3439,1,6.1,9.0,1
23,Marketing,1.0,4196,4,7.4,3.0,0
57,Sales,1.4,4638,1,0.0,3.0,1
45,HR,10.9,7024,3,4.5,1.0,0
23,Engineering,1.7,3874,2,4.7,5.0,1
56,Marketing,4.1,3245,5,4.0,6.0,0
39,HR,0.9,2731,3,0.0,2.0,0
26,Sales,2.4,2253,1,8.5,7.0,0
45,Finance,6.2,6155,5,3.5,7.0,0
24,Marketing,3.7,3913,3,3.2,2.0,1
42,Marketing,0.0,3433,3,4.0,1.0,0
50,Engineering,1.9,6641,4,4.1,2.0,0
24,Sales,1.5,4956,5,6.6,2.0,0
52,Sales,3.9,3824,1,0.0,2.0,0
44,Marketing,1.2,4262,4,1.3,8.0,0
34,Engineering,2.6,6282,3,6.2,3.0,0
30,Sales,8.0,5828,1,5.6,6.0,0
22,Marketing,2.3,3062,5,3.5,8.0,0
29,HR,1.5,3501,3,2.7,7.0,0
32,Engineering,8.4,6119,5,1.7,5.0,0
55,Engineering,2.0,6324,1,4.8,8.0,0
41,Engineering,0.8,2355,4,9.7,1.0,1
29,Sales,5.3,4424,1,0.8,7.0,0
50,Sales,0.9,3417,5,11.1,4.0,0
39,Marketing,0.5,2996,5,8.4,2.0,1
53,Engineering,2.6,5390,5,3.2,2.0,0
50,Engineering,3.3,5764,2,8.1,7.0,0
57,Engineering,2.9,5168,4,0.0,10.0,0
48,Finance,3.6,5463,1,0.0,2.0,0
26,Sales,2.8,2495,5,0.0,4.0,0
43,Engineering,4.0,5800,1,3.4,3.0,0
38,Sales,11.6,7297,4,3.7,5.0,0
52,Sales,2.8,4539,4,2.9,5.0,0
27,Marketing,1.8,3919,2,5.4,7.0,0
39,HR,2.5,3179,3,0.0,2.0,1
53,Engineering,0.2,3703,3,7.0,6.0,1
45,Engineering,1.9,5673,1,0.0,2.0,1
23,Marketing,3.8,4834,1,2.4,9.0,0
53,Engineering,2.3,4508,4,3.3,7.0,1
35,HR,4.5,6636,4,0.4,9.0,0
47,HR,3.3,6398,2,0.0,8.0,0
46,Engineering,2.0,3684,3,1.0,7.0,1
46,Engineering,2.3,5392,4,5.0,4.0,1
37,Finance,1.4,5818,4,7.4,9.0,1
37,Marketing,3.1,4946,3,7.3,4.0,0
25,Sales,1.5,4099,5,1.0,3.0,1
43,Marketing,0.4,2973,3,1.8,3.0,0
33,Sales,5.8,5133,1,1.3,6.0,0
37,Finance,7.1,5649,3,6.8,6.0,1
28,Finance,7.7,5584,2,0.0,3.0,0
50,Sales,0.2,4050,4,10.0,6.0,0
57,Engineering,6.0,6242,1,3.1,3.0,1
36,Finance,3.6,4043,5,1.9,10.0,0
38,Sales,0.6,2458,4,6.4,1.0,0
39,HR,1.4,3515,4,9.1,1.0,1
24,Finance,1.5,2795,3,6.4,4.0,1
50,Engineering,0.3,4157,1,9.2,10.0,0
55,Finance,2.0,4738,3,5.5,3.0,0
41,Sales,1.4,4189,3,9.9,10.0,0
24,Sales,1.5,4354,3,10.0,4.0,0
34,Engineering,3.3,5840,2,4.6,4.0,0
27,Sales,0.6,3593,2,10.8,2.0,0
53,Engineering,0.8,4405,1,5.7,8.0,0
52,Marketing,1.1,3163,3,5.3,9.0,0
36,Engineering,1.5,5483,1,1.3,9.0,0
36,Engineering,6.8,5944,4,3.8,2.0,0
54,Sales,3.1,5747,2,8.1,,0
25,Marketing,0.6,3271,3,0.0,5.0,0
51,Engineering,3.7,5006,5,7.6,3.0,0
58,Marketing,4.3,4280,3,6.4,8.0,0
38,Engineering,20.0,11591,4,6.1,7.0,0
50,Engineering,0.3,4464,4,0.0,9.0,0
49,Marketing,4.4,4114,5,4.6,9.0,0
56,Finance,2.8,5148,1,7.6,9.0,0
23,HR,14.2,7977,4,1.9,2.0,0
48,Engineering,0.0,2200,2,5.4,7.0,0
36,Marketing,7.7,5422,2,0.0,5.0,0
54,Engineering,1.0,2792,5,7.7,2.0,1
54,Marketing,4.1,4604,2,2.4,1.0,0
32,Sales,2.3,5173,3,8.5,3.0,0
